Date              C           SP
20040203      -0.007109      0.000678
20040204      -0.006342     -0.008371
20040205      -0.009471      0.001838
20040206       0.024943      0.012555
20040209      -0.003245     -0.002581
20040210      -0.004680      0.005027
20040211       0.016762      0.010667
20040212      -0.004624     -0.004880
20040213      -0.000404     -0.005468
20040217       0.008284      0.009757
20040218      -0.006814     -0.004468
20040219      -0.008878     -0.004133
20040220      -0.004682     -0.002572
20040223       0.008795     -0.002727
20040224       0.002433     -0.001665
20040225       0.008091      0.004021
20040226       0.003210      0.001084
20040227       0.005200      0.000026
20040301       0.003979      0.009625
20040302      -0.013674     -0.005934
20040303       0.001005      0.001688
20040304      -0.008832      0.003336
20040305       0.012556      0.001723
20040308      -0.001200     -0.008350
20040309      -0.002002     -0.005779
20040310      -0.012640     -0.014633
20040311      -0.011989     -0.015224
20040312       0.014192      0.012460
20040315      -0.003853     -0.014350
20040316       0.017712      0.005623
20040317       0.016603      0.011749
20040318       0.009052     -0.001273
20040319      -0.018331     -0.011173
20040322      -0.014501     -0.012958
20040323       0.003830     -0.001324
20040324      -0.000201     -0.002395
20040325       0.009440      0.016365
20040326      -0.003979     -0.001019
20040329       0.025170      0.013005
20040330       0.012081      0.004036
20040331      -0.004621     -0.000701
20040401       0.011412      0.005292
20040402      -0.009371      0.008515
20040405       0.008301      0.007672
20040406       0.000192     -0.002095
20040407      -0.010146     -0.006645
20040408      -0.003481     -0.001061
20040412       0.010285      0.005161
20040413      -0.016519     -0.013762
20040414      -0.004883     -0.001124
20040415      -0.020216      0.000594
20040416       0.003606      0.005111
20040419      -0.002395      0.001066
20040420      -0.015406     -0.015557
20040421      -0.001422      0.005312
20040422       0.010582      0.014091
20040423      -0.009666      0.000588
20040426      -0.003863     -0.004445
20040427      -0.000612      0.002272
20040428      -0.010825     -0.013795
20040429       0.002891     -0.007591
20040430      -0.001661     -0.005916
20040503       0.009773      0.009203
20040504       0.005766      0.001843
20040505      -0.004300      0.001769
20040506      -0.023031     -0.006723
